Bank/FI,Name,Minimum Balance,Tenure (Months),Interest Rate (%),YoY Interest Rate Change (%),3-Year MA Interest Rate
NIMB,Fixed Deposit-3Mto6M,0.0,3.0,4.25,-1.1627906976744096,4.286666666666666
SCB,Fixed Deposit-1Yto<5Y,0.0,12.0,4.25,0.0,4.266666666666667
NMB Bank,Manyajan Muddati,0.0,12.0,4.25,0.0,4.25
NMB Bank,Fixed Deposit->6Mto13M,0.0,7.0,4.25,0.0,4.25
Everest Bank,Fixed Deposit-1Yto2Y,0.0,12.0,4.25,0.0,4.25
Krishi Bikas,Fixed Depsit-2Year,0.0,24.0,4.24,-0.23529411764705577,4.246666666666667
Excel Bikas,Fixed Deposit-3M,0.0,3.0,4.15,-2.1226415094339535,4.213333333333334
Global IME,Fixed Deposit-3Mto<6M,0.0,3.0,4.0,-3.614457831325313,4.13
Shangrila Dev.,Fixed Deposit-3Mto<6M,0.0,3.0,4.0,0.0,4.05
Jyoti Bikas,Fixed Deposit-1Year,0.0,12.0,4.0,0.0,4.0
Nepal Bank,Fixed Deposit-Upto2Year,0.0,3.0,4.0,0.0,4.0
Garima Bikas,Fixed Deposit-6Mto<1Y,0.0,6.0,4.0,0.0,4.0
Kamana Sewa,Fixed Deposit-3Mto<6M,0.0,3.0,4.0,0.0,4.0
RBB,Fixed Deposit-3Mto1Y,0.0,3.0,4.0,0.0,4.0
SCB,Fixed Deposit-3Mto<1Y,0.0,3.0,4.0,0.0,4.0
Himalayan,Fixed Deposit-6M,0.0,6.0,4.0,0.0,4.0
Everest Bank,Fixed Deposit-3Mto<1Y,0.0,3.0,4.0,0.0,4.0
Laxmi Sunrise,Fixed Deposit-3Mto<6M,0.0,3.0,4.0,0.0,4.0
Krishi Bikas,Fixed Deposit-1Y,0.0,12.0,4.0,0.0,4.0
Sanima Bank,Fixed Deposit-3Mto6M,0.0,3.0,4.0,0.0,4.0
NIC Asia,Fixed Deposit->3Mto<1Y,0.0,4.0,4.0,0.0,4.0
ICFC Finance,Fixed Deposit-3Mto<1Y,0.0,3.0,4.0,0.0,4.0
Garima Bikas,Fixed Deposit-3Mto<6M,0.0,3.0,3.75,-6.25,3.9166666666666665
Machhapuchhre,Fixed Deposit-6Mto<1Y,0.0,6.0,3.75,0.0,3.8333333333333335
Jyoti Bikas,Fixed Deposit-6Mto<1Y,0.0,6.0,3.5,-6.666666666666665,3.6666666666666665
Nepal SBI,Fixed Deposit-3Mto<6M,0.0,3.0,3.5,0.0,3.5833333333333335
Machhapuchhre,Fixed Deposit-3Mto<6M,0.0,3.0,3.5,0.0,3.5
NIC Asia,Fixed Deposit-3M,0.0,3.0,3.5,0.0,3.5
Himalayan,Fixed Deposit-3M,0.0,3.0,3.25,-7.14285714285714,3.4166666666666665
Krishi Bikas,Fixed Deposit- 6M,0.0,6.0,3.25,0.0,3.3333333333333335
Jyoti Bikas,Fixed Deposit-3M,0.0,3.0,3.0,-7.692307692307687,3.1666666666666665
Krishi Bikas,Fixed Deposit-3M,0.0,3.0,3.0,0.0,3.0833333333333335
NMB Bank,Saral Muddati-3M,0.0,3.0,3.0,0.0,3.0
NMB Bank,Fixed Deposit-Upto6M,0.0,3.0,3.0,0.0,3.0
